- Text database for dialog box keyboard shortcuts

schema: *key,text
SpellMakerExit,                 S
; Conflit entre "Nom" et "Nouveau"
SpellMakerNameSpell,            O
SpellMakerTargetCaster,         Shift-L
SpellMakerTargetTouch,          Shift-T
SpellMakerTargetSingleAtRange,  Shift-S
SpellMakerTargetAroundCaster,   Shift-Z
SpellMakerTargetAreaAtRange,    Shift-P
SpellMakerElementFire,          Ctrl-F
; Conflit entre "Feu" et "Froid"
SpellMakerElementCold,          Ctrl-R
SpellMakerElementPoison,        Ctrl-P
SpellMakerElementShock,         Ctrl-E
SpellMakerElementMagic,         Ctrl-M
SpellMakerNextIcon,             F1
SpellMakerPrevIcon,             F2
SpellMakerSelectIcon,           I

-- Automap
AutomapSwitchAutomapGridMode,                       Space
AutomapResetView,                                   Backspace
AutomapResetRotationPivotAxisView,                  Ctrl-Backspace
AutomapSwitchFocusToNextBeaconObject,               Tab
AutomapSwitchToNextAutomapRenderMode,               Return
AutomapSwitchToAutomapRenderModeCutout,             F2
AutomapSwitchToAutomapRenderModeWireframe,          F3
AutomapSwitchToAutomapRenderModeTransparent,        F4
AutomapSwitchToAutomapBackgroundOriginal,           F5
AutomapSwitchToAutomapBackgroundAlternative1,       F6
AutomapSwitchToAutomapBackgroundAlternative2,       F7
AutomapSwitchToAutomapBackgroundAlternative3,       F8
AutomapMoveLeft,                                    LeftArrow
AutomapMoveRight,                                   RightArrow
AutomapMoveForward,                                 UpArrow
AutomapMoveBackward,                                DownArrow
AutomapMoveRotationPivotAxisLeft,                   Ctrl-LeftArrow
AutomapMoveRotationPivotAxisRight,                  Ctrl-RightArrow
AutomapMoveRotationPivotAxisForward,                Ctrl-UpArrow
AutomapMoveRotationPivotAxisBackward,               Ctrl-DownArrow
AutomapRotateLeft,                                  Alt-LeftArrow
AutomapRotateRight,                                 Alt-RightArrow
AutomapRotateCameraLeft,                            Shift-LeftArrow
AutomapRotateCameraRight,                           Shift-RightArrow
AutomapRotateCameraOnCameraYZplaneAroundObjectUp,   Shift-UpArrow
AutomapRotateCameraOnCameraYZplaneAroundObjectDown, Shift-DownArrow
AutomapUpstairs,                                    PageUp
AutomapDownstairs,                                  PageDown
AutomapIncreaseSliceLevel,                          Ctrl-PageUp
AutomapDecreaseSliceLevel,                          Ctrl-PageDown
AutomapZoomIn,                                      KeypadPlus
AutomapZoomOut,                                     KeypadMinus
AutomapIncreaseCameraFieldOfFiew,                   KeypadMultiply
AutomapDecreaseCameraFieldOfFiew,                   KeypadDivide

ExtAutomapFocusPlayerPosition,                           Tab
ExtAutomapResetView,                                     Backspace
ExtAutomapSwitchToNextExteriorAutomapViewMode,           Return
ExtAutomapSwitchToExteriorAutomapViewModeOriginal,       F2
ExtAutomapSwitchToExteriorAutomapViewModeExtra,          F3
ExtAutomapSwitchToExteriorAutomapViewModeAll,            F4
ExtAutomapSwitchToExteriorAutomapBackgroundOriginal,     F5
ExtAutomapSwitchToExteriorAutomapBackgroundAlternative1, F6
ExtAutomapSwitchToExteriorAutomapBackgroundAlternative2, F7
ExtAutomapSwitchToExteriorAutomapBackgroundAlternative3, F8
ExtAutomapMoveLeft,                                      LeftArrow
ExtAutomapMoveRight,                                     RightArrow
ExtAutomapMoveForward,                                   UpArrow
ExtAutomapMoveBackward,                                  DownArrow
ExtAutomapMoveToWestLocationBorder,                      Shift-LeftArrow
ExtAutomapMoveToEastLocationBorder,                      Shift-RightArrow
ExtAutomapMoveToNorthLocationBorder,                     Shift-UpArrow
ExtAutomapMoveToSouthLocationBorder,                     Shift-DownArrow
ExtAutomapRotateLeft,                                    Ctrl-LeftArrow
ExtAutomapRotateRight,                                   Ctrl-RightArrow
ExtAutomapRotateAroundPlayerPosLeft,                     Alt-LeftArrow
ExtAutomapRotateAroundPlayerPosRight,                    Alt-RightArrow
ExtAutomapUpstairs,                                      PageUp
ExtAutomapDownstairs,                                    PageDown
ExtAutomapZoomIn,                                        KeypadPlus
ExtAutomapZoomOut,                                       KeypadMinus
ExtAutomapMaxZoom1,                                      Ctrl-PageUp
ExtAutomapMinZoom1,                                      Ctrl-PageDown
ExtAutomapMinZoom2,                                      Ctrl-KeypadPlus
ExtAutomapMaxZoom2,                                      Ctrl-KeypadMinus
