$CUREVAM.1000,"Error -- 1000 called"
$CUREVAM.1032,"%pcn, ton sang m'appelle.
Pourquoi frappes-tu ton propre père ?
%vam punit de mort le parricide.
Ne m'oblige pas à exécuter moi-même
cette sentence. Enfuies-toi, mon enfant !
"
$CUREVAM.1040,"_hunter_ a dit que je te trouverais ici.
Crève, arpenteur de la nuit !
"
$CUREVAM.1045,"Un objet inhabituel dans votre sac
attire votre regard. Il s'agit d'une lettre,
elle s'adresse à vous en une longue
déclaration élégante.
Comment est-elle arrivée là ?
"
$CUREVAM.1050,"%qdt :
 Le chasseur de vampires _hunter_
 m'a envoyé une lettre jurant de me traquer
 à moins que je ne me guérisse du
 vampirisme en tuant mon père de sang.
 _hunter_ ne sait pas qui est mon père
 de sang, ni où il se trouve, mais %g
 suggère que _vamp1_ de ___vamp1_
 pourrait le savoir. Je dispose de =huntstart_ jours
 avant que la chasse aux vampires ne commence.
"
$CUREVAM.1051,"%qdt :
 _vamp1_ pense que mon père de sang
 demeure soit à ___wrongdung_ soit
 à ___fatherdung_, mais %g m'a
 conseillé d'apporter son bracelet à
 _vamp2_ de __vamp2_,
 ___vamp2_, qui pourrait m'indiquer
 de façon certaine à quel endroit le trouver.
"
$CUREVAM.1052,"%qdt :
 _vamp2_ m'a dit que le nom de
 mon père de sang est =bloodfather_,
 et qu'il demeure à ___fatherdung_.
<--->
"
$CUREWER.1000,"Error -- 1000 called"
$CUREWER.1001,"Error -- 1001 called"
$CUREWER.1002,"Error -- 1002 called"
$CUREWER.1003,"Error -- 1003 called
"
$CUREWER.1004,"Alors que _child_ boit votre sang,
votre esprit redevient limpide pour la première
fois depuis que vous êtes infecté
par la lycanthropie.  Mais _child_
pousse un cri d'agonie alors qu'%g se
transforme juste sous vos yeux.
"
$CUREWER.1005,"_hunter_ vient à %reg pour nettoyer l'infection de lycanthropie.
Alors peut-être pourrons-nous à nouveau nous promener la nuit dans les rues sans crainte.
"
$CUREWER.1006,"_hunter_ et ses hommes ont tué beaucoup de bêtes à %reg, mais
que je sois pendu s'ils les ont tous eus.
<--->
_hunter_ aurait vraiment dû les laisser tranquilles.  Ses croisades
n'ont fait que mettre les lycans encore plus en colère.
"
$CUREWER.1007,"_hunter_ et ses hommes ont tué beaucoup de bêtes à %reg, mais
que je sois pendu s'ils les ont tous eus.
<--->
_hunter_ aurait vraiment dû les laisser tranquilles.  Ses croisades
n'ont fait que mettre les lycans encore plus en colère.
"
$CUREWER.1008,"Error -- 1008 called"
$CUREWER.1009,"Error -- 1009 called"
$CUREWER.1011,"_hunter_ traque et anéantit les lycans à travers tout Tamriel.
<--->
_hunter_ a consacré sa vie à pourchasser les lycans."
$CUREWER.1012,"Il paraît que la propre mère de _hunter_ a été tuée par un loup-garou.
C'est ce qui a provoqué sa haine fanatique envers eux.
<--->
_hunter_ a tué sa propre mère après qu'elle soit devenue un loup-garou.
Voilà ce que j'appelle un vrai fanatique!
"
$CUREWER.1013,"_father_ ... le nom me parait familier, mais je ne peux dire si je le connais.
<--->
Je pense que _father_ est mort il y a plusieurs années.  Ou peut-être est-il parti ailleurs?  Je n'en suis pas sûr.
<--->
_father_ était le dernier d'une noble maison autrefois puissante à ___local_.
 Il est mort voici plusieurs années, je le crains.
<--->
Je pense que c'est lui qui est mort il y a deux ou trois ans, laissant son seul enfant orphelin.  Mais _local_ à __local_ en saurait davantage là-dessus.
<--->
_father_ n'habite plus à ___local_ depuis des années.  J'ignore ce qui lui est arrivé.
 Mais _local_ était l'un de ses amis, et pourrait en savoir davantage.
<--->
_father_ est parti pour ___father_ il y a bien longtemps.  Ou alors est-ce lui
 qui est mort de façon si tragique?
"
$CUREWER.1014,"_father_ est mort il y a plusieurs années.  Son seul enfant fut adopté par une famille
de __childhouse_, je crois.  Renseignez-vous dans les environs à propos de _child_.
<--->
Etiez-vous un ami?  Je suis au regret de vous informer qu'il est mort il y a un an environ.
Son seul enfant _child_ fut pris en charge par une famille de __childhouse_.
"
$CUREWER.1020,"                       %qdt

Cher %pcn,

   Ou devrais-je vous appeler ""=wereboar_,"" tel que vous
connaissent les gens de %reg, qui barricadent leurs
portes chaque nuit par crainte de vous ? Oui, je sais
qui et ce que vous êtes, et les jours où vous terrorisez
la Baie d'Iliac vous sont comptés. Je vous propose un choix
simple : renoncez à la lycanthropie, ou soyez pourchassé
comme la bête sauvage que vous êtes.
   On ne pourra pas dire que _hunter_ manque
de compassion. Je vous offre une dernière chance de
vous épargner. Allez voir _priest_ de
__priest_ à ___priest_ si vous voulez
vivre. %g a étudié la lycanthropie, et si
quelqu'un peut vous aider, %g peut le faire.
   J'attendrai =huntstart_ jours avant d'envoyer mes chassseurs
après vous. Utilisez votre temps avec sagesse.

 _hunter_
"
$CUREWER.1021,"Vous devez être %pcn.  _hunter_ a dit que vous
viendriez peut-être me voir, bien qu'il doutait que vous
teniez compte de son avertissement. C'est triste, mais la
plupart ne le font pas, déjà trop aliénés par la Bête en eux
pour préserver leur vie. Oui, la malédiction de lycanthropie
peut être levée, bien que j'hésite à en parler,
car le remède peut être pire que le mal. Nous devons
parler plus bas. Vous l'ignorez peut-être, mais la
lycanthropie est une affliction héréditaire, transmise dans
certaines familles, bien que pouvant rester endormie
durant des générations avant de refaire surface. Voilà
pourquoi les grandes croisades contre les lycans, menées par
certains tels que _hunter_, sont en définitive futiles,
à moins que les familles portant cette lignée soient
exterminées également. A présent vous comprenez pourquoi
je suis réticent à l'idée de partager ce savoir. Comme vous le
savez, la morsure d'une créature lycanthrope peut transmettre
l'infection à une nouvelle victime. Cependant, si vous pouvez
transmettre l'infection à un lycan en sommeil, votre malédiction
sera atténuée selon l'intensité de son développement
dans la victime. Mes études ont récemment mis a jour
une famille qui, j'en suis certain, porte la maladie.
Si vous souhaitez toujours poursuivre dans cette sombre voie,
je peux vous indiquer où trouver le dernier survivant de cette
ancienne lignée maudite.
"
$CUREWER.1022,"Très bien. Je ne peux pas vous blâmer de vouloir vivre.
Je me réconforte en pensant que _father_
est le dernier d'une famille condamnée, qu'il serait préférable
d'éteindre avant que la malédiction ne se renouvelle.
 Oui, c'est bien lui. A ce que je sais, il vit toujours à
___local_, la demeure familiale depuis des générations.
Mais avant tout, vous aurez besoin de rencontrer
_alchemist_ à ___alchemist_.
%g m'a aidé dans des affaires similaires auparavant. Le
moyen le plus sûr de transmettre l'infection est que la victime
boive le sang du lycan. _alchemist_ ne posera
aucune question et ne vous racontera pas d'histoires à propos
de votre étrange requête. Que %god guide vos pas.
"
$CUREWER.1023,"Je comprends. En fait, je suis presque soulagé que
vous rejetiez cette route vers le salut. Cela montre que
la Bête ne vous domine par encore entièrement.
Je ne voudrais pas vous donner de faux espoir, mais si
vous désirez toujours essayer de vous soigner... Eh bien, ce
n'est rien de plus qu'une légende, mais il y aurait une bande
de sorcières quelque part qui peut guérir la lycanthropie.
La meilleure piste que je peux donner est un texte ancien,
""Une Histoire des Sectes Daedras"". Malheureusement,
le seul exemplaire existant a disparu lors du pillage de
___hintdung_ il y a plus d'un siècle. Peut-être est-il
encore caché là-bas, quelque part dans les ruines.
Au moins, la recherche pourra vous aider à maintenir
la Bête aux abois, au moins pour un temps.
Que %god guide vos pas.
"
$CUREWER.1024,"Ainsi, un autre visiteur de la part de _priest_.
Ouais, je sais ce que vous voulez, mais c'est pas gratuit.
1000 pièces d'or, pas moins. A prendre ou à laisser.
Très bien, restez immobile quelques instants. Voilà
c'est fait, ce n'était pas douloureux, pas vrai?
Maintenant partez d'ici avant qu'un de mes
respectables clients ne vous aperçoive.
"
$CUREWER.1025,"Ainsi, un autre visiteur de la part de _priest_.
Ouais, je sais ce que vous voulez, mais c'est pas gratuit.
1000 pièces d'or, pas moins. A prendre ou à laisser.
Désolé mon vieux, vous n'avez pas assez d'argent.
Dégagez avant que j'appelle les gardes.
"
$CUREWER.1026,"Vous recherchez _father_?  J'ai bien peur
qu'il ne soit mort depuis trois ans. Il s'est suicidé en
réalité, bien que très peu de gens soient au courant.
Je ne suis pas certain de ce qui s'est passé, mais
il est devenu très lunatique et a commencé à disparaitre
parfois durant des jours. Il a laissé un message
comme quoi il ne pouvait pas vivre avec lui-même et
qu'il ne voulait pas que _child_ découvre la vérité
à son sujet. Je n'ai jamais compris de quoi il
s'agissait. Oui, _child_ était son seul enfant.
%g fut emmené par une famille
de __childhouse_ après la mort de son père.
C'est tout ce que je sais, je le crains.
"
$CUREWER.1027,"Bonjour. Etes-vous docteur ? Je ne me sens pas
très bien aujourd'hui. Le remède que vous avez là
pourrait-il me convenir ?
"
$CUREWER.1028,"Donnez-vous le sang à _child_ ?
"
$CUREWER.1030,"Voulez-vous rechercher une victime
pour guérir votre lycanthropie ?
"
$CUREWER.1040,"_hunter_ m'a dit que je vous trouverais ici.
 Mourez, =wereboar_!
"
$CUREWER.1045,"Un objet inhabituel dans votre sac
attire votre attention. C'est une lettre,
qui vous est adressée dans un style aisé et
élégant. Comment est-elle arrivée là ?
"
$CUREWER.1050,"%qdt:
 Le chasseur de lycans _hunter_
 m'a envoyé une lettre, jurant de me
 pourchasser à moins que je ne me soigne
 de la lycanthropie. %g m'a conseillé d'aller voir
 un _priest_ de __priest_,
 ___priest_. J'ai =huntstart_ jours
 avant que la chasse ne commence.
"
$CUREWER.1051,"%qdt:
 _priest_ m'a dit que le seul moyen de
 me guérir est de trouver _father_ de
 ___local_, le dernier représentant d'une famille de
 lycans en sommeil, et de l'obliger à boire mon sang de
 façon à transférer complètement ma maladie vers lui.
 Un alchimiste appelé _alchemist_ à
 ___alchemist_ peut préparer une fiole de
 mon sang à cet effet.
"
$CUREWER.1052,"%qdt:
 J'ai decliné l'offre de _priest_ de guérir
 ma lycanthropie en l'infligeant à quelqu'un
 d'autre. Son seul conseil supplémentaire
 a été de rechercher un livre qui pourrait me mener
 à un Cercle de sorcières qui devraient avoir le
 remède. Le dernier emplacement connu du livre
 était ___hintdung_, donc je devrais aussi bien
 commencer par là.
"
$CUREWER.1053,"%qdt:
 J'ai trouvé une page du livre, disant que
 davantage d'informations sur les sorcières
 du ""Glenmoril Coven"" pourraient se trouver
 à la librairie de ___mapdung_.
"
$CUREWER.1054,"%qdt:
 Il semble que _father_ soir déjà mort.
 Cependant, tout espoir n'est pas perdu,
 car j'ai appris qu'il avait un enfant,
 _child_, qui vit désormais
 à __childhouse_.
"
$CUREWER.1060,"Une carte indiquant l'emplacement du
 ""Glenmoril Coven"" dans les Ilessan Hills.
"
$CUREWER.1061,"On dirait une page arrachée d'un livre :

...réputé avoir le pouvoir de ressusciter les morts,
bien que jusqu'à présent le Conclave n'a mis à jour
aucune preuve de cela, au-delà des légendes
habituelles et des anecdotes.

   A l'inverse, l'existence du Glenmoril Coven est profondément
ancré dans l'histoire.  En fait, ce cercle est tellement ancien
que ses origines ont été oubliées. Le Cercle des Sept, comme
on l'appelle souvent (le Glenmoril Coven considère treize comme
une corruption moderne des sept Inities originaux, plus six
Acolytes, un pour chaque Initié du Cercle, sauf pour la
Maitresse, que l'on considère comme étant au-dessus de telles
occupations d'apprentissage). Comme d'habitude, la légende
se mélange avec le fait que dans la croyance populaire,
le Glenmoril Coven possède le remède contre la lycanthropie.
La documentation complète de ces légendes peut être trouvée
à la librairie de ___mapdung_.

   La région de la Baie d'Illiac est également la demeure
d'un autre de...
<--->
"
00B00Y00.1000,"Nous n'avons qu'une seule règle à l'école de Julianos :
le savoir doit être partagé. Malheureusement, un des
anciens membres de notre ordre a transgressé cette loi
et doit être puni. Si nous vous proposions _reward_ pièces d'or,
traqueriez-vous et tueriez-vous cet ex-membre de notre école ?
"
00B00Y00.1001,"Décevant. Eh bien, nous trouverons quelqu'un d'autre sans aucun doute.
"
00B00Y00.1002,"Bien. Le prodigue est un
nightblade nomme =monster_
qui a trouvé refuge dans %g3 laboratoire,
___mondung_. Si vous n'êtes pas
de retour dans =1stparton_ jour avec le sang
de _monster_ sur vos mains, nous présumerons
que vous avez échoué ou que vous vous êtes
joint à la cause de =monster_, et votre
récompense sera remise à quelqu'un qui, lui,
n'échouera pas. Je crois avoir été clair.
Au revoir et bonne chance.
"
00B00Y00.1003,"Aussi longtemps que ce nightblade vivra, je ne serai aucunement disposé à aborder d'autres sujets, %pcf."
00B00Y00.1004,"Excellent, %pcf.
Veritablement excellent. Voici vos _reward_ pièces
d'or. Nous vous sommes très reconnaissants.
<--->
"
00B00Y00.1005,"J'ai entendu dire qu'il y aurait un nightblade à ___mondung_ qui vend des sorts contre de l'argent.
<--->
Les jeteurs de sorts renégats sont très dangereux. J'espère qu'ils mettront la main sur ce _monster_."
00B00Y00.1006,"=monster_ semblerait avoir changé de lieu, continuant à vendre des sorts en échange d'argent.
<--->
J'ai entendu dire que l'école de Julianos avait lancé les Knights Mentor aux trousses de quelqu'un."
00B00Y00.1007,"Ils ont enfin eu ce _monster_. On ne peut pas accepter d'avoir des mages indisciplinés errants.
<--->
Je les plains d'avoir eu à attraper ce _monster_. Je crois savoir qu'il était infesté de pas mal de saletés purulentes."
00B00Y00.1008,"Vous êtes %pcn. Bon travail avec ce =monster_,
vous vous en rappelez, le lanceur de sort renégat ?
"
00B00Y00.1009,"Hmmph. Vous avez lamentablement échoué en
tentant d'éliminer =monster_,
le jeteur de sort renégat, n'est-ce pas ?
"
00B00Y00.1030,"%qdt :
 L'école de Julianos de ___questgiver_
 m'a engagé afin de tuer un
 _monster_ prodigue de leur temple,
 =monster_. Je dispose de =1stparton_ jours pour
 me rendre à sa cachette, ___mondung_,
 et revenir à l'école.
"
00B00Y00.1031,"Vous venez d'egorger =monster_.
L'école de Julianos sera fière de vous.
<--->
"
10C00Y00.1000,"Oh, oui mon cher, je pense que je peux vous aider
dans votre ambition. Si je vous donne un objet de valeur,
ferez-vous d'abord quelque chose pour moi?
"
10C00Y00.1001,"Oh, quelle honte. Comme conseil amical, de mauvaises
choses arrivent aux aventuriers %ra avides, voulant
prendre mais ne voulant pas donner.
"
10C00Y00.1002,"Vous acceptez? Oh, c'est très gentil. Beaucoup plus gentil
qu'un certain _monster_ que je connais, dénommé
=monster_, qui a passé un marché avec moi,
mais qui a ensuite décidé de se retracter.
Pourriez-vous rendre visite à =monster_
et lui faire savoir qu'un tel comportement non galant
est fatal. Puis allez voir mon cher ami,
_qgfriend_, qui vous attendra durant =1stparton_ jours à
__qgfriend_ à ___qgfriend_,
pour vous donner mon _artifact_ lorsque vous
arriverez. C'est précisement l'objet qu'il vous faut.
A présent, vous devriez partir. Prenez soin de vous.
"
10C00Y00.1003,"Vous n'envisagez pas d'abuser de la gentillesse de Meridia
en me disant que vous avez tué =monster_
alors que nous savons tous les deux qu'il n'en est rien,
n'est-ce pas? J'espère vraiment que non.
"
10C00Y00.1004,"%pcn? Je suis _qgfriend_. Je crois savoir que
vous me cherchez. J'ai ici le _artifact_, comme
Meridia l'avait promis. Meridia est impressionnée par
le fait que vous ayez rempli votre contrat jusqu'au bout,
pourrais-je ajouter.
"
10C00Y00.1005,"Le sorcier à ___mondung_ est un célèbre collecteur d'artéfacts étranges.
<--->
Il paraît que =monster_ traite avec les esprits pour alimenter ses collectes."
10C00Y00.1006,"Ce répugnant sorcier a finalement quitté ___mondung_. Pour acquérir davantage de camelote, j'imagine.
<--->
Ce =qgfriend_ _qgfriend_ a quitté __qgfriend_ en grommelant à propos d'un %ra malhonnête."
10C00Y00.1007,"On dit qu'une créature de la collection de =monster_ s'est soulevée et l'a tué.
<--->
Apparemment, =monster_ a été tué par quelqu'un qui s'intéressait à sa grande collection."
10C00Y00.1008,"Error: Tried to call questtext 1008. Whoopsy!
"
10C00Y00.1009,"Error: Tried to call questtext 1009. Ye Gods!
"
10C00Y00.1011,"_qgfriend_ est le nom de ce =qgfriend_ à __qgfriend_, juste au %di d'ici.
<--->
_qgfriend_ est un =qgfriend_ tranquille que j'ai rencontré à __qgfriend_. C'est vers le %di."
10C00Y00.1012,"_qgfriend_ est l'un des collecteurs de Meridia à %reg. Charmant, comme %g doit l'être.
<--->
_qgfriend_ est un serviteur de la Dame Daedra de la Cupidité, Meridia."
10C00Y00.1013,"Meridia est une Régente Daedra et collectionneuse de spécimens humains.
<--->
Meridia est une sorte de prince Daedra intérimaire, et impitoyable dans ses acquisitions."
10C00Y00.1014,"L'anneau est un ancien objet de pouvoir. Il est sensé rendre celui
qui le porte invisible, silencieux, et vif comme le vent.
"
10C00Y00.1020,"%qdt:
 J'ai =1stparton_ jours pour trouver et tuer un
 _monster_ appelé =monster_, être à
 ___qgfriend_ pour rencontrer un =qgfriend_
 appelé _qgfriend_, et recevoir l'artéfact que Meridia
 m'a promis, le _artifact_.
 Je sais que =monster_ se trouve à
 ___mondung_, et _qgfriend_ est
 à ___qgfriend_.
<--->
"
10C00Y00.1030,"=monster_ gît mort à vos pieds.
Dame Meridia est désormais votre débitrice.
"
10C00Y00.1040,"Ainsi, Meridia envoie ses laquais contre moi.
Mais je ne suis pas sans alliés non plus.
Venez à moi, enfants d'Oblivion ! Servez votre
maître =monster_ quand il en a besoin !
<--->
"
20C00Y00.1000,"Ainsi vous avez soif de pouvoir, %pcn.
Le pouvoir est bien plus tangible que la sagesse,
n'êtes-vous pas d'accord ? Aussi, afin que
nous puissions juger de votre valeur, vous devrez
vous acquitter d'une petite tâche pour nous.
Rien de déplaisant, bien évidemment.
Vous pourriez même y trouver du plaisir. Un simple
assassinat, dont vous vous verrez récompensé par
_artifact_. Ensuite nous pourrons voir
si vous êtes prêt pour le vrai Pouvoir.
Y consentez-vous ?
"
20C00Y00.1001,"Vous nous avez fait perdre un temps précieux. Sachez que nous ne sommes pas satisfaits.
"
20C00Y00.1002,"Nous savions que cela vous intéresserait.
Maintenant, écoutez attentivement : votre cible
est un _monster_ nomme =monster_.
Cet infernal jeteur de sort d'opérette a invoqué
notre nom, comptant sur notre pouvoir, sans aucun pacte.
Peut-être est-ce dû à l'ignorance, mais nous
ne pouvons être cléments. Cherchez le mage dans %g3
laboratoire, ___mondung_ et détruisez-%g2.
Ensuite, avant que =1stparton_ jours ne se soient écoulés,
rencontrez notre intermédiaire, _contact_,
un =contact_, dans __tavern_ en un lieu
appelé _tavern_.
La-bas %g vous donnera _artifact_.
Ne vous attardez pas, vous n'avez pas beaucoup de temps.
Nous vous observerons. N'échouez pas.
"
20C00Y00.1003,"Ecoutez, %pcf, vous et moi savons tous deux que
=monster_ respire encore. Un contrat est
un contrat, et Molag Bal n'oublie jamais.
"
20C00Y00.1004,"Bonjour, %pcf. Tu y es arrivé.
Molag Bal t'adresse ses compliments.
Et, bien entendu, _artifact_.
Apprécie-le et prends soin de toi.
"
20C00Y00.1005,"Partout, des chuchotements se font entendre sur les expériences se déroulant à ___mondung_.
<--->
Il y a une affaire tordue qui se passe dans ce ___mondung_ au %di."
20C00Y00.1006,"On dit que cette étoile rouge brillante est le courroux du démon Molag Bal.
<--->
Il y avait un =contact_ cinglé par ici qui courait partout hurlant quelque chose à propos de contrats."
20C00Y00.1007,"Vraiment calme autour de  ___mondung_ dernièrement.
<--->
Il y a eu beaucoup d'agitations dans les environs de ___mondung_, mais tout s'est calmé à présent."
20C00Y00.1008,"Error: Quest 20c00y00.q tried to display text"
20C00Y00.1008,"
"
20C00Y00.1009,"Error: Quest 20c00y00.q tried to display text"
20C00Y00.1009,"
"
20C00Y00.1011,"Un prince Daedra royal, qu'on dit être le plus assoiffé de pouvoir de tous les démons.
<--->
Molag Bal est réputé pour être obsédé par l'idée d'annexer Tamriel à son royaume."
20C00Y00.1012,"Un sinistre agent =contact_ était à __tavern_, au %di ici.
<--->
Un =contact_ de ce nom était à __tavern_, au %di ici, assez récemment."
20C00Y00.1013,"La Masse de Molag Bal dérobe la magicka de ses victimes.
<--->
La Masse de Molag Bal, ou Masse du Vampire pour le profane,
est un canal pour que l'énergie magique emplisse le porteur.
"
20C00Y00.1020,"%qdt :
 Le prince Daedra Molag Bal m'a envoyé
 tuer un certain jeteur de sort dans le donjon
 ___mondung_. Si le mage est mort
 dans =1stparton_ jours et que je rencontre son
 associé _contact_ à __tavern_
 dans un endroit appelé _tavern_,
 je recevrai _artifact_.
"
20C00Y00.1030,"=monster_ est mort.
Vous avez rempli
votre contrat avec
Molag Bal. Maintenant,
allez chercher votre récompense.
"
20C00Y00.1040,"=monster_ brandit %g3 bâton
et disparait en un coup de tonnerre.
"
20C00Y00.1060,"Une carte indiquant l'emplacement de ___hideout_,
où figure l'inscription,
""Rappelle à _dummy_ de rester vigilant.
Tout indique que Molag Bal a retrouvé ma trace.""
<--->
"
30C00Y00.1000,"Le désir du pouvoir vous ronge les entrailles, n'est-ce pas,
%pcf? Je peux voir que oui. Veuillez pardonner ce ton
familier, mais j'ai le sentiment de vous connaître, je
reconnais votre faim comme si c'était la mienne. Vous
voulez contrôler, et cette pensée vous fait saliver comme
un loup affamé. Je peux remplir votre panse, mais d'abord
je dois savoir. Tuerez-vous pour pouvoir remplir ce vide?
"
30C00Y00.1001,"Non ?! Vous vous moquez de moi, %pcf. Vous me
tirez de mon sombre palais et puis vous rejetez mon
offre. Si je pensais que vous étiez simplement cruel,
je pourrais respecter cela. Mais je vous soupçonne
d'être réellement stupide, ce que je ne peux supporter.
Par conséquent, je vous adresse un salut
des plus dégoutés.
"
30C00Y00.1002,"Magnifique. Vous devriez voir ce regard dans vos yeux,
%pcf. Vous serez puissant, je peux le voir dedans.
Maintenant, votre marchepied vers le pouvoir est un
vampire ancien qui m'a déplu, =monster_.
Sachez qu'%g est un adversaire puissant, et sa
retraite, ___mondung_, est bien
protégée. Mais vous pouvez le tuer et vous
le ferez. Ceci fait, retrouvez mon cher ami,
_qgfriend_ se trouvant à __qgfriend_
à ___qgfriend_.  _qgfriend_ est
une personne occupée, donc ne la faites pas
attendre plus de =1stparton_ jours. _qgfriend_
aura un cadeau pour vous qui, je le pense, vous
fera très plaisir. Au revoir, %pcf.
Nous nous rencontrerons à nouveau, je le sais.
"
30C00Y00.1003,"Tant que ce vampire ancien est toujours en vie,
nous n'avons rien à nous dire, %pcf.
"
30C00Y00.1004,"Bonjour, %pcn. Je suis _qgfriend_.
Vous semblez... satisfait. Ce meurtre vous convenait,
je pense. Bien, j'espère que cela vous plaira également.
Namira m'a dit de vous donner son anneau. Essayez-le
et vous apprendrez le sens de la faim et de la satisfaction.
Une fois que vous aurez appris cela, vous saurez ce qu'est
le pouvoir. Bonne journée, %pcf.
"
30C00Y00.1005,"Il y a un vampire à ___mondung_ qui est si vieux qu'il ne boit plus de sang.
<--->
Il paraît que le vampire à ___mondung_ a appris à contrôler sa soif de sang."
