- Text database for game settings window.

schema: *key,text
nearDeathWarningInfo,                               Affiche des effets de pulsation d'écran pour alerter sur une mort prochaine
alternateRandomEnemySelection,                      Sélection alternative d'ennemis aléatoires
alternateRandomEnemySelectionInfo,                  Crée des ennemis aléatoires avec une plus grande diversité dans les donjons
advancedClimbing,                                   Système d'escalade avancé
advancedClimbingInfo,                               Permet d'escalader les murs dans toutes les directions ainsi que d'en sauter et d'en attraper
dungeonAmbientLightScale,                           Lumière ambiante des donjons
dungeonAmbientLightScaleInfo,                       Mise à l'échelle de la lumière ambiante dans les donjons
nightAmbientLightScale,                             Lumière ambiante nocturne
nightAmbientLightScaleInfo,                         Mise à l'échelle de la lumière ambiante durant la nuit en intérieur et extérieur
playerTorchLightScale,                              Lumière de la torche du joueur 
playerTorchLightScaleInfo,                          Mise à l'échelle de la lumière personnelle du joueur
playerTorchFromItems,                               Torche du joueur basée sur item
playerTorchFromItemsInfo,                           La lumière de la torche du joueur est activée par les sources de lumière du jeu
combatVoices,                                       Voix de combat
combatVoicesInfo,                                   Le joueur et les PNJ vont parler quand ils attaquent ou quand ils sont touchés
enemyInfighting,                                    Combats internes des ennemis
enemyInfightingInfo,                                Les personnages IA combattront ceux avec qui ils ne sont pas alliés
enhancedCombatAI,                                   Combat IA avancés
enhancedCombatAIInfo,                               Active diverses améliorations du combat des IA n'existant pas dans le Daggerfall original
allowMagicRepairs,                                  Active la réparation des objets magiques
allowMagicRepairsInfo,                              Permet aux objets magiques d'être réparés comme les autres objets

resolution,                                         Résolution
resolutionInfo,                                     Résolution de l'écran
fullscreen,                                         Plein écran
fullscreenInfo,                                     Activer le plein écran
exclusiveFullscreen,                                Plein écran exclusif
exclusiveFullscreenInfo,                            Active le plein écran exclusif
runInBackground,                                    Tourner en tâche de fond
runInBackgroundInfo,                                Indique si le jeu doit continuer de tourner quand il perd le focus
qualityLevel,                                       Niveau de qualité
qualityLevelInfo,                                   Qualité graphique générale
mainFilterMode,                                     Filtre principal
mainFilterModeInfo,                                 Filtre pour les textures du jeu
guiFilterMode,                                      Filtre d'interface
guiFilterModeInfo,                                  Filtre pour l'interface du jeu
videoFilterMode,                                    Filtre vidéo
videoFilterModeInfo,                                Filtre pour les vidéos
antiAliasingMethod,                                 Méthode d'anti-crénelage
antiAliasingMethodInfo,                             Permet de sélectionner la méthode d'anti-crénelage
ambientOcclusionIntensity,                          Intensité de l'occlusion ambiante
ambientOcclusionIntensityInfo,                      Définit l'intensité de l'effet d'occlusion ambiante
fovSlider,                                          Champ de vision
fovSliderInfo,                                      Modifie le champ de vision pour une vision plus ou moins proche
terrainDistance,                                    Distance de terrain
terrainDistanceInfo,                                Distance maximum de terrains rendus depuis la position du joueur
shadowResolutionMode,                               Résolution des ombres
shadowResolutionModeInfo,                           Qualité des ombres
dungeonLightShadows,                                Ombres des lumières des donjons
dungeonLightShadowsInfo,                            Les ombres faites par les lumières des donjons
interiorLightShadows,                               Ombres des lumières intérieures
interiorLightShadowsInfo,                           Les ombres faites par les lumières intérieures
exteriorLightShadows,                               Ombres des lumières extérieures
exteriorLightShadowsInfo,                           Les ombres faites à l'extérieur par la lumière du soleil
ambientLitInteriors,                                Éclairage intérieur simplifié
ambientLitInteriorsInfo,                            Utilise une technique d'éclairage simplifiée pour de meilleurs performances en intérieur

- Options partagées par divers curseurs. Les clés manquantes utilisent le texte par défaut.

Off,                                                Off
On,                                                 On
HQ,                                                 HQ

Low,                                                Bas
Medium,                                             Moyen
High,                                               Haut
Very High,                                          Très haut

Low (25%),                                          Basse (25%)
Medium (50%),                                       Moyenne (50%)
High (75%),                                         Haute (75%)
V. High(100%),                                      Très Haute (100%)

Point,                                              Point
Bilinear,                                           Bilinéaire
Trilinear,                                          Trilinéaire

none,                                               aucun
classic,                                            classique
climate,                                            climat
climateOnly,                                        climatSeulement
random,                                             aléatoire
randomOnly,                                         aléatoireSeulement
minimal,                                            minimal
large,                                              grand
colour,                                             couleur
monochrome,                                         monochrome

reset,                                              Réinit
